Academic Year,Term,Level of Statistics,School,Dept,Course Group,Course No,Section,Course Code,Section Code,Survey Name,Instructor's Name,Instructor's ITSC,Enrolment,Response Rate,Low Response Rate Indicator,Response Rate (Adjusted),Number of Sections Evaluated,Course Overall - Mean,Course Overall - Mean (Adjusted),Course Overall - SD,Course Overall -  SD (Adjusted),Instructor Overall - Mean,Instructor Overall - Mean (Adjusted),Instructor Overall - SD,Instructor Overall - SD (Adjusted)
24-25,FALL,School,OTHERS,-,-,-,-,-,-,-,-,-,-,0.644,,-,14,4.53,-,0.76,-,4.64,-,0.63,-
24-25,FALL,Dept / Course Group,OTHERS,CEI,-,-,-,-,-,-,-,-,-,0.664,,-,10,4.52,-,0.78,-,4.68,-,0.6,-
24-25,FALL,Dept / Course Group,OTHERS,DSTO,-,-,-,-,-,-,-,-,-,0.5,,-,3,4.56,-,0.55,-,4.4,-,0.76,-
24-25,FALL,Dept / Course Group,OTHERS,UROP,-,-,-,-,-,-,-,-,-,0.167,Y,-,1,5.0,-,0.0,-,5.0,-,0.0,-
24-25,FALL,Course,OTHERS,CEI,PDEV,6800Z,-,24-25-FALL-PDEV-6800Z,-,-,-,-,-,0.664,,-,10,4.52,-,0.78,-,4.68,-,0.6,-
24-25,FALL,Section,OTHERS,CEI,PDEV,6800Z,T01,24-25-FALL-PDEV-6800Z,24-25-FALL-PDEV-6800Z-T01,-,-,-,72,0.708,,0.681,-,4.65,4.71,0.77,0.58,4.76,4.82,0.59,0.44
24-25,FALL,Instructor,OTHERS,CEI,PDEV,6800Z,T01,24-25-FALL-PDEV-6800Z,24-25-FALL-PDEV-6800Z-T01,24-25-FALL-PDEV-6800Z-T01-SI,"YUEN, Karina",ykh,72,0.708,,0.681,-,4.65,4.71,0.77,0.58,4.76,4.82,0.59,0.44
24-25,FALL,Section,OTHERS,CEI,PDEV,6800Z,T02,24-25-FALL-PDEV-6800Z,24-25-FALL-PDEV-6800Z-T02,-,-,-,75,0.693,,0.667,-,4.38,4.44,0.82,0.67,4.58,4.62,0.67,0.57
24-25,FALL,Instructor,OTHERS,CEI,PDEV,6800Z,T02,24-25-FALL-PDEV-6800Z,24-25-FALL-PDEV-6800Z-T02,24-25-FALL-PDEV-6800Z-T02-SI,"YUEN, Karina",ykh,75,0.693,,0.667,-,4.38,4.44,0.82,0.67,4.58,4.62,0.67,0.57
24-25,FALL,Section,OTHERS,CEI,PDEV,6800Z,T03,24-25-FALL-PDEV-6800Z,24-25-FALL-PDEV-6800Z-T03,-,-,-,74,0.608,,0.581,-,4.6,4.65,0.69,0.57,4.76,4.79,0.48,0.41
